rock_out,featset,hidden,act,alpha,inner_mape
r1,md_zeta9,"(12, 6, 3)",tanh,3.0,29.184385924472373
r1,md_zeta9,"(12, 6, 3)",tanh,5.0,27.675496848884297
r1,md_zeta9,"(12, 6, 3)",tanh,10.0,31.399953617791237
r1,md_zeta9,"(16, 8, 4)",tanh,0.5,31.64022386207722
r1,md_zeta9,"(16, 8, 4)",tanh,1.0,29.02204341044144
r1,md_zeta9,"(16, 8, 4)",tanh,2.0,29.846255428656065
r1,md_zeta9,"(16, 8, 4)",tanh,3.0,28.30643786667102
r1,md_zeta9,"(16, 8, 4)",tanh,5.0,26.27624164442538
r1,md_zeta9,"(16, 8, 4)",tanh,10.0,31.187814928247896
r1,md_zeta9,"(24, 12, 6)",tanh,0.5,37.4423092875702
r1,md_zeta9,"(24, 12, 6)",tanh,1.0,27.76033585827601
r1,md_zeta9,"(24, 12, 6)",tanh,2.0,29.81454520080276
r1,md_zeta9,"(24, 12, 6)",tanh,3.0,28.88331999625949
r1,md_zeta9,"(24, 12, 6)",tanh,5.0,26.62434210223484
r1,md_zeta9,"(24, 12, 6)",tanh,10.0,29.85271127645877
r1,md_beta9,"(8,)",tanh,0.5,45.05350316865984
r1,md_beta9,"(8,)",tanh,1.0,39.71705099226012
r1,md_beta9,"(8,)",tanh,2.0,40.20727922830064
r1,md_beta9,"(8,)",tanh,3.0,38.26173112738595
r1,md_beta9,"(8,)",tanh,5.0,38.658157646972406
r1,md_beta9,"(8,)",tanh,10.0,39.71428076529477
r1,md_beta9,"(12,)",tanh,0.5,48.15289793251184
r1,md_beta9,"(12,)",tanh,1.0,43.45048102525239
r1,md_beta9,"(12,)",tanh,2.0,40.32318030358535
r1,md_beta9,"(12,)",tanh,3.0,38.40436998320573
r1,md_beta9,"(12,)",tanh,5.0,38.72000069500443
r1,md_beta9,"(12,)",tanh,10.0,39.88157263534303
r1,md_beta9,"(4, 2)",tanh,0.5,46.697636647001445
r1,md_beta9,"(4, 2)",tanh,1.0,49.7643811444299
r1,md_beta9,"(4, 2)",tanh,2.0,43.65237866001894
r1,md_beta9,"(4, 2)",tanh,3.0,38.57916589033517
r1,md_beta9,"(4, 2)",tanh,5.0,38.69863305996024
r1,md_beta9,"(4, 2)",tanh,10.0,39.093813443743656
