feature,drmse,drmse_std,pct,pct_std
he,1.7158730056282774,0.046160076652387534,380.80558624284174,13.878183045909912
zeta_mean,1.3418169407567018,0.031079628764940654,297.76867683533027,9.443195494895832
Mp_mean,1.1928221950220754,0.027767381610258865,264.7089299139425,8.534547129595786
w_diff,0.7197442915725901,0.0285833817511882,159.7239882691755,7.3202144256535195
w_mean,0.5145113000732084,0.01722560196341517,114.17409763785615,4.469814327967118
beta_mean,0.43753857153921205,0.015118715724952703,97.06965991703663,3.269270554021558
fn_mean,0.4306005212965253,0.017526906330471895,95.56900287687787,4.6371211204801375
zeta_diff,0.21268663043343974,0.00990008286666267,47.18132095373036,2.08432603954948
fn_diff,0.17885613724958918,0.007791294301936581,39.690801277166216,1.9222972875629047
Mp_diff,0.17112817477089237,0.01346498454890368,37.97776883927023,3.132564389547527
beta_diff,0.0835511100301763,0.005152353093473536,18.54306816045959,1.2382337751829011
