rock_out,hidden,act,alpha,inner_mape
r1,"(8, 4)",tanh,5.0,25.93120029520929
r11,"(8, 4, 2)",tanh,3.0,24.68527710805328
r12,"(6, 3)",tanh,5.0,25.439894248224423
r13,"(4, 2)",tanh,2.0,22.79173491800379
r14,"(6, 3)",tanh,3.0,25.151457926763225
r15,"(8, 4, 2)",tanh,2.0,24.562570162375927
r16,"(8, 4)",tanh,2.0,25.22153054300869
r17,"(6, 3)",tanh,3.0,24.979112200019937
r18,"(10, 5)",tanh,3.0,26.556369049863008
r19,"(12, 6, 3)",tanh,3.0,24.36726903633449
r2,"(8, 4)",tanh,1.0,26.30018201731277
r3,"(12, 6)",tanh,1.0,23.23650751191198
r4,"(8, 4)",tanh,1.0,24.17645484628513
r5,"(6, 3)",tanh,2.0,25.222080177026605
r6,"(16, 8, 4)",tanh,5.0,26.57695545498608
r7,"(6, 3)",tanh,2.0,20.071335205433467
r8,"(12, 6, 3)",tanh,2.0,23.256253549387093
r9,"(8, 4, 2)",tanh,3.0,24.020124930503837
